metadata;PR (n = 31);PNR (n = 22);pvalue.unadjusted;pvalue
p__Planctomycetes; 0.00000;13.63636;0.130117906763119;0.936181370679444
p__Candidatus_Saccharibacteria;16.12903;36.36364;0.172859675474091;0.936181370679444
p__Verrucomicrobia; 6.451613;22.727273;0.189274851472064;0.936181370679444
p__Fusobacteria;54.83871;72.72727;0.30007149511793;0.936181370679444
p__Proteobacteria;100.00000; 90.90909;0.327144107635974;0.936181370679444
p__Actinobacteria;93.54839;81.81818;0.374472548271778;0.936181370679444
p__Candidatus_Gracilibacteria;0.000000;4.545455;0.861894634662836;1
p__Synergistetes;0.000000;4.545455;0.861894634662836;1
p__Bacteroidetes;93.54839;95.45455;0.999999999999999;1
p__Lentisphaerae;6.451613;4.545455;0.999999999999999;1
p__Spirochaetes;3.225806;0.000000;0.999999999999999;1
p__Tenericutes;3.225806;0.000000;0.999999999999999;1
p__Ascomycota;3.225806;0.000000;0.999999999999999;1
p__Candidatus_Melainabacteria;3.225806;4.545455;1;1
p__Euryarchaeota;12.903226; 9.090909;1;1
